lat,long,type
-28.82309289,153.26072624,7
-28.82388753,153.25814232,8
-28.82581725,153.25965912,6
-28.8328952,153.26068326,7
-28.8321481,153.26043411,7
-28.84570706,153.26446745,6
-28.82328629,153.25618324,8
-28.82299578,153.26080838,8
-28.8231357,153.26098546,8
-28.82472299,153.25935004,8
-28.82428624,153.25740685,8
-28.82606727,153.25959876,8
-28.83155171,153.2599631,7
-28.83261835,153.26035762,7
-28.83261835,153.26035762,7
-28.82631591,153.25510617,6
-28.82177844,153.25718044,8
-28.82335021,153.25841761,6
-28.82368637,153.25773803,8
-28.82348452,153.25994039,8
-28.82407486,153.25800771,8
-28.83357353,153.26059259,7
-28.83128265,153.24774627,8
-28.82410055,153.2565906,8
-28.82385151,153.25671535,8
-28.82353645,153.2571702,8
-28.82475697,153.26310055,8
-28.8256869,153.25988593,8
-28.85297074,153.26502674,6
-28.82469519,153.25708251,8
-28.82512351,153.25446544,6
-28.82464751,153.25455656,6
-28.82306958,153.25861895,8
-28.82291496,153.26079193,7
-28.82267846,153.26211493,6
-28.82427233,153.25818772,8
-28.82578448,153.26187771,8
-28.82449724,153.25815009,7
-28.82589112,153.26154939,8
-28.82581161,153.25819733,8
-28.82602885,153.25784343,8
-28.82218581,153.25481111,8
-28.81634301,153.2491906,8
-28.8192885,153.25386151,8
-28.80524564,153.25809535,7
-28.82064327,153.26173433,8
-28.82394909,153.25746959,8
-28.82397698,153.25744906,8
-28.82558149,153.26015522,8
-28.82192958,153.25455152,6
-28.81611087,153.2690913,8
-28.82238497,153.26203894,6
-28.82390771,153.257782,8
-28.82413209,153.258369,8
-28.82458302,153.26085873,8
-28.82431129,153.25858346,7
-28.82513216,153.25789106,8
-28.82563178,153.25604995,8
-28.82372389,153.25784717,8
-28.8237908,153.25822337,8
-28.82324692,153.26065715,8
-28.82479804,153.25979956,8
-28.82497887,153.26001186,6
-28.83329868,153.26188167,7
-28.83248447,153.25730606,8
-28.81749598,153.24983156,8
-28.82335748,153.25722103,8
-28.82545604,153.26082908,8
-28.83268631,153.26018021,7
-28.85313703,153.26590254,6
-28.82402443,153.25637274,8
-28.82308144,153.25644353,8
-28.81438416,153.25453462,8
-28.81684603,153.25858098,8
-28.8184127,153.25988795,6
-28.82159204,153.26388282,7
-28.82292297,153.26026904,8
-28.82407505,153.25781381,8
-28.82418335,153.25829706,8
-28.82473139,153.25927258,6
-28.82427831,153.2570565,8
-28.82147423,153.26145254,6
-28.82379865,153.25746897,8
-28.82149722,153.26167815,7
-28.8238322,153.25778654,8
-28.82289136,153.26118424,8
-28.82510842,153.26035328,8
-28.81593875,153.25243334,8
-28.81681638,153.25989515,7
-28.8235509,153.25754239,8
-28.82379955,153.2581823,8
-28.82410566,153.25810111,7
-28.82555122,153.25877722,8
-28.82360139,153.25087128,8
-28.82364053,153.25734301,8
-28.82145106,153.26526787,7
-28.82380236,153.25343826,6
-28.82370978,153.25622977,8
-28.82268953,153.25815844,8
-28.82246578,153.26049889,8
-28.82396998,153.25841964,8
-28.82464065,153.25805944,6
-28.82547529,153.25940364,7
-28.826277,153.2603111,8
-28.82146615,153.25109027,6
-28.82260311,153.25662193,8
-28.82191365,153.25878814,8
-28.82368014,153.25760487,6
-28.82372996,153.25760391,8
-28.82649521,153.26242858,8
-28.82798936,153.25469876,6
-28.8151657,153.25124796,8
-28.82168286,153.25808319,8
-28.82029746,153.25950966,8
-28.82040557,153.26110035,7
-28.82286938,153.26120944,8
-28.82404462,153.25945765,8
-28.82415978,153.26001733,8
-28.82480423,153.26276325,8
-28.82462843,153.25950294,8
-28.82472424,153.25941195,6
-28.82448271,153.2583113,7
-28.82541478,153.26022811,8
-28.83649929,153.26840133,7
-28.82330562,153.25438524,8
-28.82239543,153.25493817,8
-28.82224073,153.25899503,8
-28.82361909,153.25747865,8
-28.82250528,153.25929967,8
-28.82493051,153.26174559,8
-28.8234247,153.25436701,6
-28.81862763,153.26032744,6
-28.82376752,153.25740541,8
-28.8231557,153.25960513,7
-28.82397169,153.25834423,8
-28.82434221,153.25927333,8
-28.8252122,153.26025429,8
-28.82592346,153.26016514,8
-28.82467132,153.25547784,8
-28.82036419,153.25160989,6
-28.82390346,153.25694075,8
-28.82373354,153.25751854,8
-28.82299111,153.26032716,8
-28.8232336,153.26044027,8
-28.82342398,153.26024787,8
-28.82499287,153.26075122,7
-28.82457548,153.25868096,7
-28.82434844,153.25758577,8
-28.82346769,153.25493775,8
-28.82369934,153.25706664,8
-28.82365453,153.25764476,8
-28.82141179,153.26165767,6
-28.82384829,153.25756796,8
-28.82375031,153.25791474,8
-28.82288538,153.26216924,7
-28.82343271,153.25992501,8
-28.82270427,153.26353822,7
-28.82354927,153.25956976,7
-28.82450625,153.25904281,8
-28.81842922,153.25945158,7
-28.8236141,153.25732927,8
-28.82229868,153.25898378,6
-28.8239482,153.2582948,8
-28.8239482,153.2582948,8
-28.82441579,153.25492642,6
-28.82395682,153.25640625,8
-28.81990791,153.26117456,7
-28.82118171,153.26130505,6
-28.82483414,153.25831281,6
-28.82481752,153.25818798,6
-28.82547931,153.25829107,8
-28.82520783,153.25307624,8
-28.81467544,153.24929917,8
-28.82195503,153.26099048,8
-28.82420682,153.25825748,8
-28.82466952,153.25815206,6
-28.82393021,153.25470603,8
-28.81975006,153.25633661,8
-28.82197209,153.25854755,8
-28.8230066,153.25847349,8
-28.82423959,153.25821357,7
-28.82511372,153.2619909,8
-28.82507806,153.24962456,6
-28.82408378,153.2567261,8
-28.81993394,153.25740423,8
-28.81784528,153.25950855,7
-28.82348612,153.25729916,8
-28.8239129,153.25773458,8
-28.8239129,153.25773458,8
-28.82387959,153.2595854,7
-28.8257116,153.25678958,8
-28.82462725,153.25460517,8
-28.82507699,153.24909594,7
-28.82191976,153.25552311,8
-28.82189736,153.25734867,8
-28.82341385,153.25725237,8
-28.81881605,153.26373222,8
-28.82315385,153.26009432,8
-28.82481782,153.25799999,8
-28.82617511,153.2594311,8
-28.83185394,153.25695394,8
-28.82386896,153.25462216,8
-28.82371945,153.25600319,8
-28.82315294,153.25708809,8
-28.80670091,153.26657907,8
-28.82365289,153.25730641,8
-28.82124318,153.261392,6
-28.82368246,153.25768602,8
-28.82334072,153.25864005,6
-28.82388564,153.2576248,8
-28.82431662,153.25894848,8
-28.82479288,153.25937241,8
-28.82423173,153.25719573,8
-28.82469736,153.25454747,6
-28.82442037,153.25491975,6
-28.82484828,153.25038205,7
-28.81214875,153.27047525,8
-28.82329439,153.25926242,7
-28.82401589,153.25871253,8
-28.8240902,153.25807893,8
-28.82422428,153.25810254,8
-28.82421185,153.25797487,8
-28.82426399,153.25820805,7
-28.82493624,153.26077014,8
-28.82473961,153.25950575,6
-28.82414252,153.2560666,8
-28.82361516,153.25703434,8
-28.82312294,153.25713683,8
-28.82242591,153.25861314,8
-28.82225212,153.26311899,8
-28.82290064,153.26100689,8
-28.82399401,153.25820021,7
-28.82440339,153.25839453,8
-28.82205115,153.25669625,8
-28.82377461,153.25713715,8
-28.82461101,153.25797785,8
-28.82553232,153.25368981,8
-28.81916191,153.25149978,8
-28.82331816,153.25720966,8
-28.8236196,153.25750259,8
-28.82243824,153.25982082,8
-28.82142209,153.26525106,8
-28.8063488,153.26061732,7
-28.8235174,153.25727033,8
-28.82000672,153.26105485,6
-28.8228339,153.25843211,8
-28.82294778,153.26069913,8
-28.82321718,153.26045568,6
-28.82521733,153.26116027,8
-28.82006219,153.25153229,6
-28.81842516,153.25835584,8
-28.81653225,153.25957632,7
-28.82371344,153.25776956,8
-28.82371344,153.25776956,8
